,model,parameters,value
239,Glu_Growth_Glycolysis_C0,kf_FBA12,75438282.88906501
240,Glu_Growth_Glycolysis_C0,kf_FBA11,762994211.3129935
241,Glu_Growth_Glycolysis_C0,kf_FBP24,88849.79702051268
242,Glu_Growth_Glycolysis_C0,kf_FBP23,135995384.22162887
243,Glu_Growth_Glycolysis_C0,kf_FBP22,532590.334934663
244,Glu_Growth_Glycolysis_C0,kf_FBP21,79102.2404198097
245,Glu_Growth_Glycolysis_C0,kf_FBP14,8304123561.010669
246,Glu_Growth_Glycolysis_C0,kf_FBP13,305689547.29692525
247,Glu_Growth_Glycolysis_C0,kf_PPS4,27564976.71417787
248,Glu_Growth_Glycolysis_C0,kf_PPS5,534764.0988603585
249,Glu_Growth_Glycolysis_C0,kf_PPS6,2705662669000.0884
250,Glu_Growth_Glycolysis_C0,kr_PFK24,58894.084794191476
251,Glu_Growth_Glycolysis_C0,kr_PFK23,3596436790775.064
252,Glu_Growth_Glycolysis_C0,kr_PFK22,3599994485226.713
253,Glu_Growth_Glycolysis_C0,kr_PFK21,652735150.8746792
254,Glu_Growth_Glycolysis_C0,kr_PFK1_TransitionStep,3599997478316.0586
255,Glu_Growth_Glycolysis_C0,kr_PFK15_87,16836456797.223433
256,Glu_Growth_Glycolysis_C0,kr_PFK14_87,1392875773.4743295
257,Glu_Growth_Glycolysis_C0,kr_PFK13_87,1118143581.0963843
258,Glu_Growth_Glycolysis_C0,kf_PFK13,7545614221.867969
259,Glu_Growth_Glycolysis_C0,kr_PFK12_87,0.0036129118597164863
260,Glu_Growth_Glycolysis_C0,kr_PFK11_87,1792794773786.322
261,Glu_Growth_Glycolysis_C0,kr_PFK15_86,1308889272.6030896
262,Glu_Growth_Glycolysis_C0,kr_PFK14_86,99070080276.94974
263,Glu_Growth_Glycolysis_C0,kr_PFK13_86,2999710.998716613
264,Glu_Growth_Glycolysis_C0,kr_PFK12_86,0.0036000014021537537
265,Glu_Growth_Glycolysis_C0,kr_PFK11_86,2676754.4489022284
266,Glu_Growth_Glycolysis_C0,kr_PFK15_85,21769340.292748533
267,Glu_Growth_Glycolysis_C0,kr_PFK25,159711.05326453858
268,Glu_Growth_Glycolysis_C0,kr_PFK14_85,3793.448347457762
269,Glu_Growth_Glycolysis_C0,kr_FBP11,168181799756.2767
270,Glu_Growth_Glycolysis_C0,kr_FBP12,34468474.58774141
271,Glu_Growth_Glycolysis_C0,kr_TPI2,41497439021.522446
272,Glu_Growth_Glycolysis_C0,kr_TPI1,118994724.47344142
273,Glu_Growth_Glycolysis_C0,kr_FBA24,96992.41444544597
274,Glu_Growth_Glycolysis_C0,kr_FBA23,114524666756.69626
275,Glu_Growth_Glycolysis_C0,kr_FBA22,842009537109.9438
276,Glu_Growth_Glycolysis_C0,kr_FBA21,119004858257.27864
277,Glu_Growth_Glycolysis_C0,kr_FBA14,227914036.1275563
278,Glu_Growth_Glycolysis_C0,kf_PFK11,2507492444.019347
279,Glu_Growth_Glycolysis_C0,kr_FBA13,1638018.5152711659
280,Glu_Growth_Glycolysis_C0,kr_FBA12,3582781426486.8257
281,Glu_Growth_Glycolysis_C0,kr_FBA11,13777.59579731946
282,Glu_Growth_Glycolysis_C0,kr_FBP24,158763583336.63055
283,Glu_Growth_Glycolysis_C0,kr_FBP23,0.05973200704174725
284,Glu_Growth_Glycolysis_C0,kr_FBP22,5238.890445845169
285,Glu_Growth_Glycolysis_C0,kr_FBP21,246897822.64229354
286,Glu_Growth_Glycolysis_C0,kr_FBP14,593323524430.1906
287,Glu_Growth_Glycolysis_C0,kr_FBP13,6344.208107984366
288,Glu_Growth_Glycolysis_C0,kf_PFK12,757263.4495975345
289,Glu_Growth_Glycolysis_C0,v_PYK14,0.4379624743014574
290,Glu_Growth_Glycolysis_C0,kr_PFK13_85,0.003600001645152113
291,Glu_Growth_Glycolysis_C0,kf_PFK14,2466352811920.957
292,Glu_Growth_Glycolysis_C0,kf_PFK11_84,0.0036242180285375536
293,Glu_Growth_Glycolysis_C0,Keq_SK_nad_c,1.0
294,Glu_Growth_Glycolysis_C0,Keq_SK_g3p_c,1.0
295,Glu_Growth_Glycolysis_C0,Keq_SK_dhap_c,1.0
296,Glu_Growth_Glycolysis_C0,Keq_SK_pi_c,1.0
297,Glu_Growth_Glycolysis_C0,Keq_SK_h2o_c,1.0
298,Glu_Growth_Glycolysis_C0,Keq_SK_h_c,1.0
299,Glu_Growth_Glycolysis_C0,Keq_SK_atp_c,1.0
300,Glu_Growth_Glycolysis_C0,Keq_SK_adp_c,1.0
301,Glu_Growth_Glycolysis_C0,Keq_SK_g6p_c,1.0
302,Glu_Growth_Glycolysis_C0,Keq_SK_f6p_c,1.0
303,Glu_Growth_Glycolysis_C0,kf_PFK12_84,3599998602486.3945
304,Glu_Growth_Glycolysis_C0,kf_LDH_D5,9118.98533623168
305,Glu_Growth_Glycolysis_C0,kf_LDH_D4,5886360.392174029
306,Glu_Growth_Glycolysis_C0,kf_LDH_D3,333772620756.9801
307,Glu_Growth_Glycolysis_C0,kf_LDH_D2,618712618.5858089
308,Glu_Growth_Glycolysis_C0,kf_LDH_D1,429758.28111141815
309,Glu_Growth_Glycolysis_C0,Keq_SK_nadh_c,1.0
310,Glu_Growth_Glycolysis_C0,kr_PFK12_85,71088.98273073371
311,Glu_Growth_Glycolysis_C0,Keq_SK__3pg_c,1.0
312,Glu_Growth_Glycolysis_C0,Keq_SK_pyr_c,1.0
313,Glu_Growth_Glycolysis_C0,kr_PFK11_85,3575661433399.3706
314,Glu_Growth_Glycolysis_C0,kr_PFK15_84,79576694.24109614
315,Glu_Growth_Glycolysis_C0,kr_PFK14_84,0.003600001395835193
316,Glu_Growth_Glycolysis_C0,kr_PFK13_84,7305906.310132789
317,Glu_Growth_Glycolysis_C0,kr_PFK12_84,3575951129097.4795
318,Glu_Growth_Glycolysis_C0,kr_PFK11_84,0.003600001395835193
319,Glu_Growth_Glycolysis_C0,kr_PFK15,34871025415.94719
320,Glu_Growth_Glycolysis_C0,kr_PFK14,785497981.4320055
321,Glu_Growth_Glycolysis_C0,kr_PFK13,2996416813602.6416
322,Glu_Growth_Glycolysis_C0,kr_PFK12,3590733241890.47
323,Glu_Growth_Glycolysis_C0,kf_PFK15,3598443280950.008
324,Glu_Growth_Glycolysis_C0,kr_PFK11,215.22864220634
325,Glu_Growth_Glycolysis_C0,kr_PGI3,92167.20073485024
326,Glu_Growth_Glycolysis_C0,kr_PGI2,52156829970.90798
327,Glu_Growth_Glycolysis_C0,kr_PGI1,71203351.18750787
328,Glu_Growth_Glycolysis_C0,Keq_SK_lac__D_c,1.0
329,Glu_Growth_Glycolysis_C0,Keq_SK_amp_c,1.0
330,Glu_Growth_Glycolysis_C0,Keq_SK_pep_c,1.0
331,Glu_Growth_Glycolysis_C0,v_PYK15,0.43796247457862814
332,Glu_Growth_Glycolysis_C0,kr_PGMi3,454315.1481831578
333,Glu_Growth_Glycolysis_C0,kf_PFK15_85,11.542323466653247
334,Glu_Growth_Glycolysis_C0,v_LDH_D1,1.6366593760754762e-05
335,Glu_Growth_Glycolysis_C0,f6p_b,0.00451463698789814
336,Glu_Growth_Glycolysis_C0,v_LDH_D4,1.636659376075477e-05
337,Glu_Growth_Glycolysis_C0,pi_b,0.001998356047755873
338,Glu_Growth_Glycolysis_C0,nad_b,0.11277991252494052
339,Glu_Growth_Glycolysis_C0,atp_b,0.018367352254907165
340,Glu_Growth_Glycolysis_C0,kf_PFK1_Inhibition_pep,549448.0088849892
341,Glu_Growth_Glycolysis_C0,v_PYK25,0.012016088791596909
342,Glu_Growth_Glycolysis_C0,v_LDH_D2,1.6366593760754403e-05
343,Glu_Growth_Glycolysis_C0,v_PPS1,0.048157546801015645
344,Glu_Growth_Glycolysis_C0,_3pg_b,0.013721695772566414
345,Glu_Growth_Glycolysis_C0,v_PPS3,0.04815754680101603
346,Glu_Growth_Glycolysis_C0,kf_PFK1_Activation_gdp,0.0036
347,Glu_Growth_Glycolysis_C0,kf_SK_g6p_c,320.9678592295404
348,Glu_Growth_Glycolysis_C0,g6p_b,0.0034862119694013855
349,Glu_Growth_Glycolysis_C0,v_PPS6,0.04815754680384998
350,Glu_Growth_Glycolysis_C0,dhap_b,0.008681480374475236
351,Glu_Growth_Glycolysis_C0,v_LDH_D3,1.6366593760752668e-05
352,Glu_Growth_Glycolysis_C0,v_PYK22,0.01201608879159691
353,Glu_Growth_Glycolysis_C0,g3p_b,0.00021570801600780186
354,Glu_Growth_Glycolysis_C0,adp_b,0.0024396068701740686
355,Glu_Growth_Glycolysis_C0,pep_b,0.00042602252320605224
