,model,equation,value
550,Pyr_Growth_Glycolysis_C12,E_FBP1_c,-kf_FBP11*E_FBP1_c(t)*fdp_c(t) + kf_FBP12*E_FBP1_c_f6p(t) + kr_FBP11*E_FBP1_c_fdp(t) - kr_FBP12*E_FBP1_c(t)*f6p_c(t)
551,Pyr_Growth_Glycolysis_C12,E_PGMd_c,-kf_PGMd1*E_PGMd_c(t)*_3pg_c(t) + kf_PGMd2*E_PGMd_c_2pg(t) + kr_PGMd1*E_PGMd_c_3pg(t) - kr_PGMd2*E_PGMd_c(t)*_2pg_c(t)
552,Pyr_Growth_Glycolysis_C12,E_LDH_D_c_lac__D,kf_LDH_D1*E_LDH_D_c(t)*lac__D_c(t) - kf_LDH_D3*E_LDH_D_c_lac__D(t)*nad_c(t) - kr_LDH_D1*E_LDH_D_c_lac__D(t) + kr_LDH_D3*E_LDH_D_c_lac__D_nad(t)
553,Pyr_Growth_Glycolysis_C12,E_PGK_c_3pg_atp,-kf_PGK7*E_PGK_c_3pg_atp(t) - kf_PGK8*E_PGK_c_3pg_atp(t) + kf_PGK9*E_PGK_c_13dpg_adp(t) + kr_PGK7*E_PGK_c_atp(t)*_3pg_c(t) + kr_PGK8*E_PGK_c_3pg(t)*atp_c(t) - kr_PGK9*E_PGK_c_3pg_atp(t)
554,Pyr_Growth_Glycolysis_C12,E_GAPD_c,-kf_GAPD1*E_GAPD_c(t)*nad_c(t) + kf_GAPD2*E_GAPD_c_nadh(t) + kr_GAPD1*E_GAPD_c_nad(t) - kr_GAPD2*E_GAPD_c(t)*nadh_c(t)
555,Pyr_Growth_Glycolysis_C12,E_PFK1_c_fdp_adp_gdp_gdp_gdp_gdp,-kf_PFK14_87*E_PFK1_c_fdp_adp_gdp_gdp_gdp_gdp(t) + kf_PFK15_87*E_PFK1_c_f6p_atp_gdp_gdp_gdp_gdp(t) + kr_PFK14_87*E_PFK1_c_fdp_gdp_gdp_gdp_gdp(t)*adp_c(t) - kr_PFK15_87*E_PFK1_c_fdp_adp_gdp_gdp_gdp_gdp(t)
556,Pyr_Growth_Glycolysis_C12,E_PFK1_c_fdp_adp,-kf_PFK14*E_PFK1_c_fdp_adp(t) + kf_PFK15*E_PFK1_c_f6p_atp(t) + kr_PFK14*E_PFK1_c_fdp(t)*adp_c(t) - kr_PFK15*E_PFK1_c_fdp_adp(t)
557,Pyr_Growth_Glycolysis_C12,E_FBA2_c,-kf_FBA21*E_FBA2_c(t)*fdp_c(t) + kf_FBA22*E_FBA2_c_dhap(t) + kr_FBA21*E_FBA2_c_fdp(t) - kr_FBA22*E_FBA2_c(t)*dhap_c(t)
558,Pyr_Growth_Glycolysis_C12,f6p_c,kf_FBP12*E_FBP1_c_f6p(t) + kf_FBP22*E_FBP2_c_f6p(t) - kf_PFK11*E_PFK1_c(t)*f6p_c(t) - kf_PFK11_84*E_PFK1_c_gdp(t)*f6p_c(t) - kf_PFK11_85*E_PFK1_c_gdp_gdp(t)*f6p_c(t) - kf_PFK11_86*E_PFK1_c_gdp_gdp_gdp(t)*f6p_c(t) - kf_PFK11_87*E_PFK1_c_gdp_gdp_gdp_gdp(t)*f6p_c(t) - kf_PFK21*E_PFK2_c(t)*f6p_c(t) + kf_PGI2*E_PGI_c_f6p(t) + kf_SK_f6p_c*(f6p_b - f6p_c(t)/Keq_SK_f6p_c) - kr_FBP12*E_FBP1_c(t)*f6p_c(t) - kr_FBP22*E_FBP2_c(t)*f6p_c(t) + kr_PFK11*E_PFK1_c_f6p(t) + kr_PFK11_84*E_PFK1_c_f6p_gdp(t) + kr_PFK11_85*E_PFK1_c_f6p_gdp_gdp(t) + kr_PFK11_86*E_PFK1_c_f6p_gdp_gdp_gdp(t) + kr_PFK11_87*E_PFK1_c_f6p_gdp_gdp_gdp_gdp(t) + kr_PFK21*E_PFK2_c_f6p(t) - kr_PGI2*E_PGI_c(t)*f6p_c(t)
559,Pyr_Growth_Glycolysis_C12,dhap_c,kf_FBA12*E_FBA1_c_dhap(t) + kf_FBA22*E_FBA2_c_dhap(t) - kf_SK_dhap_c*(dhap_c(t) - dhap_b/Keq_SK_dhap_c) - kf_TPI1*E_TPI_c(t)*dhap_c(t) - kr_FBA12*E_FBA1_c(t)*dhap_c(t) - kr_FBA22*E_FBA2_c(t)*dhap_c(t) + kr_TPI1*E_TPI_c_dhap(t)
560,Pyr_Growth_Glycolysis_C12,E_FBA2_c_fdp,kf_FBA21*E_FBA2_c(t)*fdp_c(t) - kf_FBA23*E_FBA2_c_fdp(t) - kr_FBA21*E_FBA2_c_fdp(t) + kr_FBA23*E_FBA2_c_dhap_g3p(t)
561,Pyr_Growth_Glycolysis_C12,E_FBA1_c_dhap_g3p,kf_FBA13*E_FBA1_c_fdp(t) - kf_FBA14*E_FBA1_c_dhap_g3p(t) - kr_FBA13*E_FBA1_c_dhap_g3p(t) + kr_FBA14*E_FBA1_c_dhap(t)*g3p_c(t)
562,Pyr_Growth_Glycolysis_C12,E_PPS_c_pyr_atp,kf_PPS3*E_PPS_c_pyr(t)*atp_c(t) - kf_PPS5*E_PPS_c_pyr_atp(t) - kr_PPS3*E_PPS_c_pyr_atp(t) + kr_PPS5*E_PPS_c_pep_amp_pi(t)
563,Pyr_Growth_Glycolysis_C12,E_PFK1_T_c_pep_pep_pep_pep,kf_PFK1_Inhibition_pep*E_PFK1_T_c_pep_pep_pep(t)*pep_c(t) - 4*kr_PFK1_Inhibition_pep*E_PFK1_T_c_pep_pep_pep_pep(t)
564,Pyr_Growth_Glycolysis_C12,nad_c,-kf_GAPD1*E_GAPD_c(t)*nad_c(t) - kf_LDH_D3*E_LDH_D_c_lac__D(t)*nad_c(t) - kf_SK_nad_c*(nad_c(t) - nad_b/Keq_SK_nad_c) + kr_GAPD1*E_GAPD_c_nad(t) + kr_LDH_D3*E_LDH_D_c_lac__D_nad(t)
565,Pyr_Growth_Glycolysis_C12,E_TPI_c,-kf_TPI1*E_TPI_c(t)*dhap_c(t) + kf_TPI2*E_TPI_c_g3p(t) + kr_TPI1*E_TPI_c_dhap(t) - kr_TPI2*E_TPI_c(t)*g3p_c(t)
566,Pyr_Growth_Glycolysis_C12,amp_c,kf_PPS4*E_PPS_c_pep_amp(t) - kf_SK_amp_c*(amp_c(t) - amp_b/Keq_SK_amp_c) - kr_PPS4*E_PPS_c_pep(t)*amp_c(t)
567,Pyr_Growth_Glycolysis_C12,E_PYK2_c,-kf_PYK21*E_PYK2_c(t)*adp_c(t) + kf_PYK22*E_PYK2_c_atp(t) + kr_PYK21*E_PYK2_c_adp(t) - kr_PYK22*E_PYK2_c(t)*atp_c(t)
568,Pyr_Growth_Glycolysis_C12,E_PFK1_c_f6p_gdp,kf_PFK11_84*E_PFK1_c_gdp(t)*f6p_c(t) - kf_PFK13_84*E_PFK1_c_f6p_gdp(t)*atp_c(t) - kr_PFK11_84*E_PFK1_c_f6p_gdp(t) + kr_PFK13_84*E_PFK1_c_f6p_atp_gdp(t)
569,Pyr_Growth_Glycolysis_C12,E_FBA2_c_dhap_g3p,kf_FBA23*E_FBA2_c_fdp(t) - kf_FBA24*E_FBA2_c_dhap_g3p(t) - kr_FBA23*E_FBA2_c_dhap_g3p(t) + kr_FBA24*E_FBA2_c_dhap(t)*g3p_c(t)
570,Pyr_Growth_Glycolysis_C12,E_GAPD_c_nad,kf_GAPD1*E_GAPD_c(t)*nad_c(t) - kf_GAPD3*E_GAPD_c_nad(t)*g3p_c(t) - kr_GAPD1*E_GAPD_c_nad(t) + kr_GAPD3*E_GAPD_c_nad_g3p(t)
571,Pyr_Growth_Glycolysis_C12,E_GAPD_c_nad_g3p_pi,kf_GAPD5*E_GAPD_c_nad_g3p(t)*pi_c(t) - kf_GAPD6*E_GAPD_c_nad_g3p_pi(t) - kr_GAPD5*E_GAPD_c_nad_g3p_pi(t) + kr_GAPD6*E_GAPD_c_nadh_13dpg(t)
572,Pyr_Growth_Glycolysis_C12,h_c,0
573,Pyr_Growth_Glycolysis_C12,nadh_c,kf_GAPD2*E_GAPD_c_nadh(t) + kf_LDH_D4*E_LDH_D_c_nadh_pyr(t) + kf_SK_nadh_c*(nadh_b - nadh_c(t)/Keq_SK_nadh_c) - kr_GAPD2*E_GAPD_c(t)*nadh_c(t) - kr_LDH_D4*E_LDH_D_c_pyr(t)*nadh_c(t)
574,Pyr_Growth_Glycolysis_C12,atp_c,-kf_PFK13*E_PFK1_c_f6p(t)*atp_c(t) - kf_PFK13_84*E_PFK1_c_f6p_gdp(t)*atp_c(t) - kf_PFK13_85*E_PFK1_c_f6p_gdp_gdp(t)*atp_c(t) - kf_PFK13_86*E_PFK1_c_f6p_gdp_gdp_gdp(t)*atp_c(t) - kf_PFK13_87*E_PFK1_c_f6p_gdp_gdp_gdp_gdp(t)*atp_c(t) - kf_PFK23*E_PFK2_c_f6p(t)*atp_c(t) + kf_PGK3*E_PGK_c_atp(t) + kf_PGK8*E_PGK_c_3pg_atp(t) - kf_PPS3*E_PPS_c_pyr(t)*atp_c(t) + kf_PYK12*E_PYK1_c_atp(t) + kf_PYK22*E_PYK2_c_atp(t) + kf_SK_atp_c*(atp_b - atp_c(t)/Keq_SK_atp_c) + kr_PFK13*E_PFK1_c_f6p_atp(t) + kr_PFK13_84*E_PFK1_c_f6p_atp_gdp(t) + kr_PFK13_85*E_PFK1_c_f6p_atp_gdp_gdp(t) + kr_PFK13_86*E_PFK1_c_f6p_atp_gdp_gdp_gdp(t) + kr_PFK13_87*E_PFK1_c_f6p_atp_gdp_gdp_gdp_gdp(t) + kr_PFK23*E_PFK2_c_f6p_atp(t) - kr_PGK3*E_PGK_c(t)*atp_c(t) - kr_PGK8*E_PGK_c_3pg(t)*atp_c(t) + kr_PPS3*E_PPS_c_pyr_atp(t) - kr_PYK12*E_PYK1_c(t)*atp_c(t) - kr_PYK22*E_PYK2_c(t)*atp_c(t)
575,Pyr_Growth_Glycolysis_C12,E_PYK2_c_atp,-kf_PYK22*E_PYK2_c_atp(t) + kf_PYK24*E_PYK2_c_pyr_atp(t) + kr_PYK22*E_PYK2_c(t)*atp_c(t) - kr_PYK24*E_PYK2_c_atp(t)*pyr_c(t)
576,Pyr_Growth_Glycolysis_C12,E_GAPD_c_nad_g3p,kf_GAPD3*E_GAPD_c_nad(t)*g3p_c(t) - kf_GAPD5*E_GAPD_c_nad_g3p(t)*pi_c(t) - kr_GAPD3*E_GAPD_c_nad_g3p(t) + kr_GAPD5*E_GAPD_c_nad_g3p_pi(t)
577,Pyr_Growth_Glycolysis_C12,pep_c,kf_ENO2*E_ENO_c_pep(t) - 4*kf_PFK1_Inhibition_pep*E_PFK1_T_c(t)*pep_c(t) - 3*kf_PFK1_Inhibition_pep*E_PFK1_T_c_pep(t)*pep_c(t) - 2*kf_PFK1_Inhibition_pep*E_PFK1_T_c_pep_pep(t)*pep_c(t) - kf_PFK1_Inhibition_pep*E_PFK1_T_c_pep_pep_pep(t)*pep_c(t) + kf_PPS2*E_PPS_c_pep(t) - kf_PYK13*E_PYK1_c_adp(t)*pep_c(t) - kf_PYK23*E_PYK2_c_adp(t)*pep_c(t) - kf_SK_pep_c*(pep_c(t) - pep_b/Keq_SK_pep_c) - kr_ENO2*E_ENO_c(t)*pep_c(t) + kr_PFK1_Inhibition_pep*E_PFK1_T_c_pep(t) + 2*kr_PFK1_Inhibition_pep*E_PFK1_T_c_pep_pep(t) + 3*kr_PFK1_Inhibition_pep*E_PFK1_T_c_pep_pep_pep(t) + 4*kr_PFK1_Inhibition_pep*E_PFK1_T_c_pep_pep_pep_pep(t) - kr_PPS2*E_PPS_c(t)*pep_c(t) + kr_PYK13*E_PYK1_c_pep_adp(t) + kr_PYK23*E_PYK2_c_pep_adp(t)
578,Pyr_Growth_Glycolysis_C12,E_PYK1_c_pyr_atp,-kf_PYK14*E_PYK1_c_pyr_atp(t) + kf_PYK15*E_PYK1_c_pep_adp(t) + kr_PYK14*E_PYK1_c_atp(t)*pyr_c(t) - kr_PYK15*E_PYK1_c_pyr_atp(t)
579,Pyr_Growth_Glycolysis_C12,E_FBA1_c_fdp,kf_FBA11*E_FBA1_c(t)*fdp_c(t) - kf_FBA13*E_FBA1_c_fdp(t) - kr_FBA11*E_FBA1_c_fdp(t) + kr_FBA13*E_FBA1_c_dhap_g3p(t)
580,Pyr_Growth_Glycolysis_C12,E_PFK1_c_fdp_gdp_gdp,-kf_PFK12_85*E_PFK1_c_fdp_gdp_gdp(t) + kf_PFK14_85*E_PFK1_c_fdp_adp_gdp_gdp(t) + kr_PFK12_85*E_PFK1_c_gdp_gdp(t)*fdp_c(t) - kr_PFK14_85*E_PFK1_c_fdp_gdp_gdp(t)*adp_c(t)
581,Pyr_Growth_Glycolysis_C12,E_PFK1_c_fdp_adp_gdp_gdp_gdp,-kf_PFK14_86*E_PFK1_c_fdp_adp_gdp_gdp_gdp(t) + kf_PFK15_86*E_PFK1_c_f6p_atp_gdp_gdp_gdp(t) + kr_PFK14_86*E_PFK1_c_fdp_gdp_gdp_gdp(t)*adp_c(t) - kr_PFK15_86*E_PFK1_c_fdp_adp_gdp_gdp_gdp(t)
582,Pyr_Growth_Glycolysis_C12,E_PFK1_c,-kf_PFK11*E_PFK1_c(t)*f6p_c(t) + kf_PFK12*E_PFK1_c_fdp(t) - 4*kf_PFK1_Activation_gdp*E_PFK1_c(t)*gdp_c(t) - kf_PFK1_TransitionStep*E_PFK1_c(t) + kr_PFK11*E_PFK1_c_f6p(t) - kr_PFK12*E_PFK1_c(t)*fdp_c(t) + kr_PFK1_Activation_gdp*E_PFK1_c_gdp(t) + kr_PFK1_TransitionStep*E_PFK1_T_c(t)
583,Pyr_Growth_Glycolysis_C12,E_PGMd_c_3pg,kf_PGMd1*E_PGMd_c(t)*_3pg_c(t) - kf_PGMd3*E_PGMd_c_3pg(t) - kr_PGMd1*E_PGMd_c_3pg(t) + kr_PGMd3*E_PGMd_c_2pg(t)
584,Pyr_Growth_Glycolysis_C12,E_PGK_c_adp,kf_PGK1*E_PGK_c(t)*adp_c(t) - kf_PGK5*E_PGK_c_adp(t)*_13dpg_c(t) - kr_PGK1*E_PGK_c_adp(t) + kr_PGK5*E_PGK_c_13dpg_adp(t)
585,Pyr_Growth_Glycolysis_C12,E_FBP2_c,-kf_FBP21*E_FBP2_c(t)*fdp_c(t) + kf_FBP22*E_FBP2_c_f6p(t) + kr_FBP21*E_FBP2_c_fdp(t) - kr_FBP22*E_FBP2_c(t)*f6p_c(t)
586,Pyr_Growth_Glycolysis_C12,E_PFK1_c_f6p_gdp_gdp,kf_PFK11_85*E_PFK1_c_gdp_gdp(t)*f6p_c(t) - kf_PFK13_85*E_PFK1_c_f6p_gdp_gdp(t)*atp_c(t) - kr_PFK11_85*E_PFK1_c_f6p_gdp_gdp(t) + kr_PFK13_85*E_PFK1_c_f6p_atp_gdp_gdp(t)
587,Pyr_Growth_Glycolysis_C12,E_PFK2_c_fdp_adp,-kf_PFK24*E_PFK2_c_fdp_adp(t) + kf_PFK25*E_PFK2_c_f6p_atp(t) + kr_PFK24*E_PFK2_c_fdp(t)*adp_c(t) - kr_PFK25*E_PFK2_c_fdp_adp(t)
588,Pyr_Growth_Glycolysis_C12,E_PGMi_c_2pg,-kf_PGMi2*E_PGMi_c_2pg(t) + kf_PGMi3*E_PGMi_c_3pg(t) + kr_PGMi2*E_PGMi_c(t)*_2pg_c(t) - kr_PGMi3*E_PGMi_c_2pg(t)
589,Pyr_Growth_Glycolysis_C12,_3pg_c,kf_PGK4*E_PGK_c_3pg(t) + kf_PGK7*E_PGK_c_3pg_atp(t) - kf_PGMd1*E_PGMd_c(t)*_3pg_c(t) - kf_PGMi1*E_PGMi_c(t)*_3pg_c(t) - kf_SK__3pg_c*(_3pg_c(t) - _3pg_b/Keq_SK__3pg_c) - kr_PGK4*E_PGK_c(t)*_3pg_c(t) - kr_PGK7*E_PGK_c_atp(t)*_3pg_c(t) + kr_PGMd1*E_PGMd_c_3pg(t) + kr_PGMi1*E_PGMi_c_3pg(t)
590,Pyr_Growth_Glycolysis_C12,E_LDH_D_c_lac__D_nad,kf_LDH_D3*E_LDH_D_c_lac__D(t)*nad_c(t) - kf_LDH_D5*E_LDH_D_c_lac__D_nad(t) - kr_LDH_D3*E_LDH_D_c_lac__D_nad(t) + kr_LDH_D5*E_LDH_D_c_nadh_pyr(t)
591,Pyr_Growth_Glycolysis_C12,E_PFK1_c_f6p_atp,kf_PFK13*E_PFK1_c_f6p(t)*atp_c(t) - kf_PFK15*E_PFK1_c_f6p_atp(t) - kr_PFK13*E_PFK1_c_f6p_atp(t) + kr_PFK15*E_PFK1_c_fdp_adp(t)
592,Pyr_Growth_Glycolysis_C12,E_PGK_c,-kf_PGK1*E_PGK_c(t)*adp_c(t) - kf_PGK2*E_PGK_c(t)*_13dpg_c(t) + kf_PGK3*E_PGK_c_atp(t) + kf_PGK4*E_PGK_c_3pg(t) + kr_PGK1*E_PGK_c_adp(t) + kr_PGK2*E_PGK_c_13dpg(t) - kr_PGK3*E_PGK_c(t)*atp_c(t) - kr_PGK4*E_PGK_c(t)*_3pg_c(t)
593,Pyr_Growth_Glycolysis_C12,E_FBP1_c_f6p_pi,kf_FBP13*E_FBP1_c_fdp(t) - kf_FBP14*E_FBP1_c_f6p_pi(t) - kr_FBP13*E_FBP1_c_f6p_pi(t) + kr_FBP14*E_FBP1_c_f6p(t)*pi_c(t)
594,Pyr_Growth_Glycolysis_C12,lac__D_c,-kf_LDH_D1*E_LDH_D_c(t)*lac__D_c(t) - kf_SK_lac__D_c*(lac__D_c(t) - lac__D_b/Keq_SK_lac__D_c) + kr_LDH_D1*E_LDH_D_c_lac__D(t)
595,Pyr_Growth_Glycolysis_C12,E_LDH_D_c_pyr,-kf_LDH_D2*E_LDH_D_c_pyr(t) + kf_LDH_D4*E_LDH_D_c_nadh_pyr(t) + kr_LDH_D2*E_LDH_D_c(t)*pyr_c(t) - kr_LDH_D4*E_LDH_D_c_pyr(t)*nadh_c(t)
596,Pyr_Growth_Glycolysis_C12,E_PPS_c_pyr,kf_PPS1*E_PPS_c(t)*pyr_c(t) - kf_PPS3*E_PPS_c_pyr(t)*atp_c(t) - kr_PPS1*E_PPS_c_pyr(t) + kr_PPS3*E_PPS_c_pyr_atp(t)
597,Pyr_Growth_Glycolysis_C12,E_FBA1_c_dhap,-kf_FBA12*E_FBA1_c_dhap(t) + kf_FBA14*E_FBA1_c_dhap_g3p(t) + kr_FBA12*E_FBA1_c(t)*dhap_c(t) - kr_FBA14*E_FBA1_c_dhap(t)*g3p_c(t)
598,Pyr_Growth_Glycolysis_C12,E_PFK1_c_f6p_atp_gdp,kf_PFK13_84*E_PFK1_c_f6p_gdp(t)*atp_c(t) - kf_PFK15_84*E_PFK1_c_f6p_atp_gdp(t) - kr_PFK13_84*E_PFK1_c_f6p_atp_gdp(t) + kr_PFK15_84*E_PFK1_c_fdp_adp_gdp(t)
599,Pyr_Growth_Glycolysis_C12,E_PGK_c_atp,-kf_PGK3*E_PGK_c_atp(t) + kf_PGK7*E_PGK_c_3pg_atp(t) + kr_PGK3*E_PGK_c(t)*atp_c(t) - kr_PGK7*E_PGK_c_atp(t)*_3pg_c(t)
600,Pyr_Growth_Glycolysis_C13,E_PYK1_c,-kf_PYK11*E_PYK1_c(t)*adp_c(t) + kf_PYK12*E_PYK1_c_atp(t) + kr_PYK11*E_PYK1_c_adp(t) - kr_PYK12*E_PYK1_c(t)*atp_c(t)
601,Pyr_Growth_Glycolysis_C13,E_GAPD_c_nad,kf_GAPD1*E_GAPD_c(t)*nad_c(t) - kf_GAPD3*E_GAPD_c_nad(t)*g3p_c(t) - kr_GAPD1*E_GAPD_c_nad(t) + kr_GAPD3*E_GAPD_c_nad_g3p(t)
602,Pyr_Growth_Glycolysis_C13,E_PYK1_c_atp,-kf_PYK12*E_PYK1_c_atp(t) + kf_PYK14*E_PYK1_c_pyr_atp(t) + kr_PYK12*E_PYK1_c(t)*atp_c(t) - kr_PYK14*E_PYK1_c_atp(t)*pyr_c(t)
603,Pyr_Growth_Glycolysis_C13,E_PGK_c_3pg,-kf_PGK4*E_PGK_c_3pg(t) + kf_PGK8*E_PGK_c_3pg_atp(t) + kr_PGK4*E_PGK_c(t)*_3pg_c(t) - kr_PGK8*E_PGK_c_3pg(t)*atp_c(t)
604,Pyr_Growth_Glycolysis_C13,E_PYK2_c_pep_adp,kf_PYK23*E_PYK2_c_adp(t)*pep_c(t) - kf_PYK25*E_PYK2_c_pep_adp(t) - kr_PYK23*E_PYK2_c_pep_adp(t) + kr_PYK25*E_PYK2_c_pyr_atp(t)
605,Pyr_Growth_Glycolysis_C13,E_LDH_D_c_nadh_pyr,-kf_LDH_D4*E_LDH_D_c_nadh_pyr(t) + kf_LDH_D5*E_LDH_D_c_lac__D_nad(t) + kr_LDH_D4*E_LDH_D_c_pyr(t)*nadh_c(t) - kr_LDH_D5*E_LDH_D_c_nadh_pyr(t)
606,Pyr_Growth_Glycolysis_C13,E_PFK1_c_f6p_atp_gdp_gdp_gdp_gdp,kf_PFK13_87*E_PFK1_c_f6p_gdp_gdp_gdp_gdp(t)*atp_c(t) - kf_PFK15_87*E_PFK1_c_f6p_atp_gdp_gdp_gdp_gdp(t) - kr_PFK13_87*E_PFK1_c_f6p_atp_gdp_gdp_gdp_gdp(t) + kr_PFK15_87*E_PFK1_c_fdp_adp_gdp_gdp_gdp_gdp(t)
607,Pyr_Growth_Glycolysis_C13,E_PYK1_c_pep_adp,kf_PYK13*E_PYK1_c_adp(t)*pep_c(t) - kf_PYK15*E_PYK1_c_pep_adp(t) - kr_PYK13*E_PYK1_c_pep_adp(t) + kr_PYK15*E_PYK1_c_pyr_atp(t)
608,Pyr_Growth_Glycolysis_C13,E_PGI_c,-kf_PGI1*E_PGI_c(t)*g6p_c(t) + kf_PGI2*E_PGI_c_f6p(t) + kr_PGI1*E_PGI_c_g6p(t) - kr_PGI2*E_PGI_c(t)*f6p_c(t)
609,Pyr_Growth_Glycolysis_C13,E_PYK2_c,-kf_PYK21*E_PYK2_c(t)*adp_c(t) + kf_PYK22*E_PYK2_c_atp(t) + kr_PYK21*E_PYK2_c_adp(t) - kr_PYK22*E_PYK2_c(t)*atp_c(t)
610,Pyr_Growth_Glycolysis_C13,E_PGK_c,-kf_PGK1*E_PGK_c(t)*adp_c(t) - kf_PGK2*E_PGK_c(t)*_13dpg_c(t) + kf_PGK3*E_PGK_c_atp(t) + kf_PGK4*E_PGK_c_3pg(t) + kr_PGK1*E_PGK_c_adp(t) + kr_PGK2*E_PGK_c_13dpg(t) - kr_PGK3*E_PGK_c(t)*atp_c(t) - kr_PGK4*E_PGK_c(t)*_3pg_c(t)
611,Pyr_Growth_Glycolysis_C13,E_PGK_c_atp,-kf_PGK3*E_PGK_c_atp(t) + kf_PGK7*E_PGK_c_3pg_atp(t) + kr_PGK3*E_PGK_c(t)*atp_c(t) - kr_PGK7*E_PGK_c_atp(t)*_3pg_c(t)
612,Pyr_Growth_Glycolysis_C13,E_PGK_c_adp,kf_PGK1*E_PGK_c(t)*adp_c(t) - kf_PGK5*E_PGK_c_adp(t)*_13dpg_c(t) - kr_PGK1*E_PGK_c_adp(t) + kr_PGK5*E_PGK_c_13dpg_adp(t)
613,Pyr_Growth_Glycolysis_C13,amp_c,kf_PPS4*E_PPS_c_pep_amp(t) - kf_SK_amp_c*(amp_c(t) - amp_b/Keq_SK_amp_c) - kr_PPS4*E_PPS_c_pep(t)*amp_c(t)
614,Pyr_Growth_Glycolysis_C13,_13dpg_c,kf_GAPD4*E_GAPD_c_nadh_13dpg(t) - kf_PGK2*E_PGK_c(t)*_13dpg_c(t) - kf_PGK5*E_PGK_c_adp(t)*_13dpg_c(t) - kr_GAPD4*E_GAPD_c_nadh(t)*_13dpg_c(t) + kr_PGK2*E_PGK_c_13dpg(t) + kr_PGK5*E_PGK_c_13dpg_adp(t)
615,Pyr_Growth_Glycolysis_C13,E_PYK1_c_pyr_atp,-kf_PYK14*E_PYK1_c_pyr_atp(t) + kf_PYK15*E_PYK1_c_pep_adp(t) + kr_PYK14*E_PYK1_c_atp(t)*pyr_c(t) - kr_PYK15*E_PYK1_c_pyr_atp(t)
616,Pyr_Growth_Glycolysis_C13,gdp_c,0
617,Pyr_Growth_Glycolysis_C13,E_PFK2_c,-kf_PFK21*E_PFK2_c(t)*f6p_c(t) + kf_PFK22*E_PFK2_c_fdp(t) + kr_PFK21*E_PFK2_c_f6p(t) - kr_PFK22*E_PFK2_c(t)*fdp_c(t)
618,Pyr_Growth_Glycolysis_C13,E_PFK1_c_fdp_gdp_gdp_gdp,-kf_PFK12_86*E_PFK1_c_fdp_gdp_gdp_gdp(t) + kf_PFK14_86*E_PFK1_c_fdp_adp_gdp_gdp_gdp(t) + kr_PFK12_86*E_PFK1_c_gdp_gdp_gdp(t)*fdp_c(t) - kr_PFK14_86*E_PFK1_c_fdp_gdp_gdp_gdp(t)*adp_c(t)
619,Pyr_Growth_Glycolysis_C13,g3p_c,kf_FBA14*E_FBA1_c_dhap_g3p(t) + kf_FBA24*E_FBA2_c_dhap_g3p(t) - kf_GAPD3*E_GAPD_c_nad(t)*g3p_c(t) + kf_SK_g3p_c*(g3p_b - g3p_c(t)/Keq_SK_g3p_c) + kf_TPI2*E_TPI_c_g3p(t) - kr_FBA14*E_FBA1_c_dhap(t)*g3p_c(t) - kr_FBA24*E_FBA2_c_dhap(t)*g3p_c(t) + kr_GAPD3*E_GAPD_c_nad_g3p(t) - kr_TPI2*E_TPI_c(t)*g3p_c(t)
620,Pyr_Growth_Glycolysis_C13,E_PFK1_T_c,-4*kf_PFK1_Inhibition_pep*E_PFK1_T_c(t)*pep_c(t) + kf_PFK1_TransitionStep*E_PFK1_c(t) + kr_PFK1_Inhibition_pep*E_PFK1_T_c_pep(t) - kr_PFK1_TransitionStep*E_PFK1_T_c(t)
621,Pyr_Growth_Glycolysis_C13,E_PGK_c_13dpg,kf_PGK2*E_PGK_c(t)*_13dpg_c(t) - kf_PGK6*E_PGK_c_13dpg(t)*adp_c(t) - kr_PGK2*E_PGK_c_13dpg(t) + kr_PGK6*E_PGK_c_13dpg_adp(t)
622,Pyr_Growth_Glycolysis_C13,E_PGK_c_13dpg_adp,kf_PGK5*E_PGK_c_adp(t)*_13dpg_c(t) + kf_PGK6*E_PGK_c_13dpg(t)*adp_c(t) - kf_PGK9*E_PGK_c_13dpg_adp(t) - kr_PGK5*E_PGK_c_13dpg_adp(t) - kr_PGK6*E_PGK_c_13dpg_adp(t) + kr_PGK9*E_PGK_c_3pg_atp(t)
623,Pyr_Growth_Glycolysis_C13,E_PFK1_c_fdp_adp_gdp_gdp,-kf_PFK14_85*E_PFK1_c_fdp_adp_gdp_gdp(t) + kf_PFK15_85*E_PFK1_c_f6p_atp_gdp_gdp(t) + kr_PFK14_85*E_PFK1_c_fdp_gdp_gdp(t)*adp_c(t) - kr_PFK15_85*E_PFK1_c_fdp_adp_gdp_gdp(t)
624,Pyr_Growth_Glycolysis_C13,E_PFK2_c_f6p,kf_PFK21*E_PFK2_c(t)*f6p_c(t) - kf_PFK23*E_PFK2_c_f6p(t)*atp_c(t) - kr_PFK21*E_PFK2_c_f6p(t) + kr_PFK23*E_PFK2_c_f6p_atp(t)
625,Pyr_Growth_Glycolysis_C13,E_PFK2_c_fdp,-kf_PFK22*E_PFK2_c_fdp(t) + kf_PFK24*E_PFK2_c_fdp_adp(t) + kr_PFK22*E_PFK2_c(t)*fdp_c(t) - kr_PFK24*E_PFK2_c_fdp(t)*adp_c(t)
